Volume de soude introduit en mL	pH
0	3.26
1	3.41
2	3.55
3	3.68
4	3.81
5	3.92
6	4.02
7	4.13
8	4.23
9	4.33
10	4.43
11	4.54
12	4.67
12.5	4.74
13	4.81
13.5	4.89
14	4.98
14.5	5.09
14.8	5.17
15	5.23
15.2	5.29
15.4	5.36
15.6	5.45
15.8	5.53
16	5.65
16.1	5.71
16.2	5.8
16.3	5.89
16.4	5.99
16.5	6.1
16.6	6.21
16.7	6.33
16.8	6.47
16.9	6.68
17	6.93
17.1	7.32
17.2	7.81
17.3	8.45
17.4	8.87
17.5	9.09
17.6	9.29
17.7	9.41
17.8	9.56
17.9	9.63
18	9.69
18.2	9.81
18.5	9.97
19	10.14
19.5	10.27
20	10.37
21	10.51
22	10.63
23	10.72
24	10.79
25	10.84
